horizon_seconds,experiment,feature_group,target_mode,alpha,n_test_rows,n_features,elapsed_seconds,rmse,mae,r2,baseline_mean_rmse,rmse_vs_baseline_improvement,directional_accuracy,pred_actual_delta_corr,best_threshold_by_realized_pnl,best_coverage_by_realized_pnl,best_hit_rate_by_realized_pnl,best_avg_realized_pnl,best_total_realized_pnl,best_yes_trade_count,best_no_trade_count,coverage_thr_0p0,avg_realized_pnl_thr_0p0,total_realized_pnl_thr_0p0,coverage_thr_0p01,avg_realized_pnl_thr_0p01,total_realized_pnl_thr_0p01,coverage_thr_0p05,avg_realized_pnl_thr_0p05,total_realized_pnl_thr_0p05,coverage_thr_0p1,avg_realized_pnl_thr_0p1,total_realized_pnl_thr_0p1
60,persistence,none,persistence,0.0,187088,0,0.034,0.1301561423935203,0.0856690594800308,0.8391413262315807,0.32452071673952126,0.59892809401752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,trend_5s,none,trend_5s,0.0,185923,2,0.042,0.18346520301999691,0.11340692383406036,0.6820056468634457,0.32534489892575935,0.4360901196675533,0.09034345583387353,0.004168666597609833,0.0,0.1591034998359536,0.47155268584564414,-0.011112572259220448,-328.72100000000006,14765,14816,0.1591034998359536,-0.011112572259220448,-328.72100000000006,0.14795372277770905,-0.011694088992293157,-321.68100000000015,0.13101660364774664,-0.013326942813744412,-324.63100000000014,0.11514982008681013,-0.01349208276892896,-288.8520000000001
60,ridge_price_kalshi_core_alpha_0.1,kalshi_core,price,0.1,173109,16,0.41,0.1298601154681071,0.08481926561224308,0.8494508367057232,0.3346852798500043,0.6119933463273125,0.5933789668710048,0.258080802111508,0.01,0.18879434344834758,0.5807172143687657,0.053919007404687594,1762.181,18071,14611,1.0,0.018866714035665387,3265.9979999999996,0.18879434344834758,0.053919007404687594,1762.181,0.0010629141176946317,0.023336956521739095,4.293999999999993,0.0,0.0,0.0
60,ridge_price_kalshi_core_alpha_10,kalshi_core,price,10.0,173109,16,0.38,0.1298598891385074,0.0848195591082835,0.8494513614812025,0.3346852798500043,0.6119940225733661,0.5933610947283137,0.25829391424330406,0.01,0.187852740181042,0.581044927580799,0.054124880838894183,1760.087,17973,14546,1.0,0.018864004760006697,3265.5289999999995,0.187852740181042,0.054124880838894183,1760.087,0.001057137410533248,0.023076502732240402,4.222999999999994,0.0,0.0,0.0
60,ridge_price_kalshi_core_alpha_1000,kalshi_core,price,1000.0,173109,16,0.367,0.12987080769565723,0.08486729232490081,0.8494260443023837,0.3346852798500043,0.6119613992170156,0.5927117402105339,0.2559505611559551,0.01,0.19308643686925578,0.567808526551982,0.05213923709798055,1742.754,18837,14588,1.0,0.01921677671293809,3326.5969999999998,0.19308643686925578,0.05213923709798055,1742.754,0.001010923753242177,0.024262857142857114,4.245999999999995,0.0,0.0,0.0
60,ridge_price_kalshi_spot_alpha_0.1,kalshi_spot,price,0.1,173109,29,0.633,0.1212955393527734,0.07993056705004181,0.8686541254018244,0.3346852798500043,0.6375832859839716,0.6482107006475673,0.39863535247468496,0.1,0.035064612469600076,0.7976935749588139,0.12118830313014828,735.613,2654,3416,1.0,0.029482424368461487,5103.673,0.7275011697832002,0.0421189880654613,5304.339,0.188921431005898,0.08646813845401174,2827.8540000000003,0.035064612469600076,0.12118830313014828,735.613
60,ridge_price_kalshi_spot_alpha_10,kalshi_spot,price,10.0,173109,29,0.63,0.12129524509031979,0.079930749217646,0.8686547626900982,0.3346852798500043,0.6375841652053518,0.6481749563621849,0.39864168751353496,0.1,0.03505883576243869,0.797660240566815,0.12116213544241228,735.3330000000001,2657,3412,1.0,0.02946359230311538,5100.4130000000005,0.7275069464903615,0.04213428830059235,5306.307999999999,0.18894453783454354,0.08647382903265255,2828.3859999999995,0.03505883576243869,0.12116213544241228,735.3330000000001
60,ridge_price_kalshi_spot_alpha_1000,kalshi_spot,price,1000.0,173109,29,0.586,0.12129118120713754,0.07995248934438057,0.8686635637401116,0.3346852798500043,0.6375963076072646,0.647990277554376,0.3986718785335437,0.1,0.03509927271256838,0.7990454246214614,0.12148140223831468,738.121,2652,3424,1.0,0.029367300371442275,5083.744000000001,0.7271256838177103,0.04214305802720223,5304.630999999999,0.18959730574377992,0.08628274580299199,2831.886,0.03509927271256838,0.12148140223831468,738.121
60,ridge_price_kalshi_cross_coin_alpha_0.1,kalshi_cross_coin,price,0.1,173109,43,0.888,0.12799892018411183,0.08433594829455573,0.8537353458527783,0.3346852798500043,0.6175543775290117,0.5861943655091476,0.24827035074717843,0.05,0.04969701170938542,0.6421015924677438,0.07110775310938044,611.74,3848,4755,1.0,0.01428260229104206,2472.447,0.5421266369743919,0.027630728739331034,2593.0609999999997,0.04969701170938542,0.07110775310938044,611.74,0.005043065351888117,0.14083046964490264,122.94500000000001
60,ridge_price_kalshi_cross_coin_alpha_10,kalshi_cross_coin,price,10.0,173109,43,0.86,0.12799893015287825,0.0843361090225594,0.8537353230701137,0.3346852798500043,0.6175543477435176,0.5862003228900446,0.2482828332666305,0.05,0.04967390488073988,0.6420514013257356,0.07109663914408651,611.3599999999999,3846,4753,1.0,0.014274018104200243,2470.961,0.5420111028311642,0.02763600029842156,2593.0029999999997,0.04967390488073988,0.07109663914408651,611.3599999999999,0.005043065351888117,0.14099083619702177,123.08500000000001
60,ridge_price_kalshi_cross_coin_alpha_1000,kalshi_cross_coin,price,1000.0,173109,43,0.804,0.1280300734145254,0.08436055988085114,0.8536641394554851,0.3346852798500043,0.6174612953640968,0.5835433310099548,0.2476251507405551,0.05,0.04839147589091266,0.6429509370896502,0.07207604154231824,603.781,3768,4609,1.0,0.013870151176426412,2401.048,0.5380771652542617,0.0272944839284564,2542.372,0.04839147589091266,0.07207604154231824,603.781,0.005054618766210884,0.13893257142857143,121.566
60,ridge_price_all_alpha_0.1,all,price,0.1,173109,56,1.123,0.12034016818735983,0.07958112085623305,0.8707150401090247,0.3346852798500043,0.6404378219403835,0.6498311082515683,0.413837429852103,0.1,0.04338884748915423,0.8056184263080814,0.13171894554653174,989.3409999999999,3318,4193,1.0,0.02921027214067437,5056.561,0.7445366792021212,0.04099896808031903,5284.192999999999,0.2152401088331629,0.0861004562533548,3208.103,0.04338884748915423,0.13171894554653174,989.3409999999999
60,ridge_price_all_alpha_10,all,price,10.0,173109,56,1.111,0.12033994477921206,0.07958125056318623,0.8707155201363845,0.3346852798500043,0.6404384894574846,0.6497834492043918,0.4138429467745387,0.1,0.04338307078199285,0.8058588548601864,0.13180199733688416,989.833,3316,4194,1.0,0.029209330537407062,5056.397999999999,0.7444673587161846,0.04100933469900834,5285.037,0.21515345822574217,0.08612560075177875,3207.7479999999996,0.04338307078199285,0.13180199733688416,989.833
60,ridge_price_all_alpha_1000,all,price,1000.0,173109,56,1.035,0.12034341492660205,0.07960429232674006,0.8707080638811956,0.3346852798500043,0.6404281210678393,0.6490745208776414,0.41381589671774693,0.1,0.04326753663876517,0.8048064085447263,0.13160560747663552,985.726,3303,4187,1.0,0.029170505288575406,5049.677,0.7449988157750319,0.04097210117395282,5284.008,0.2147490887244453,0.08626186953597847,3206.785,0.04326753663876517,0.13160560747663552,985.726
60,ridge_delta_kalshi_core_alpha_0.1,kalshi_core,delta,0.1,173109,16,0.326,0.12986011809913975,0.08481926292466681,0.8494508306053163,0.3346852798500043,0.6119933384660985,0.593390881632799,0.2580791494716649,0.01,0.1887885667411862,0.5807043848107463,0.053920259477984143,1762.168,18070,14611,1.0,0.018864669081330263,3265.6440000000002,0.1887885667411862,0.053920259477984143,1762.168,0.0010629141176946317,0.023336956521739095,4.293999999999993,0.0,0.0,0.0
60,ridge_delta_kalshi_core_alpha_10,kalshi_core,delta,10.0,173109,16,0.325,0.1298601298027882,0.0848192765883158,0.8494508034688151,0.3346852798500043,0.6119933034969822,0.593396839013696,0.2581402240845209,0.01,0.18859793540486053,0.5808931634403333,0.05399402719921588,1762.797,18052,14596,1.0,0.018861099076304524,3265.026,0.18859793540486053,0.05399402719921588,1762.797,0.0010629141176946317,0.023336956521739095,4.293999999999993,0.0,0.0,0.0
60,ridge_delta_kalshi_core_alpha_1000,kalshi_core,delta,1000.0,173109,16,0.323,0.12986640379145478,0.08482216446568641,0.8494362560203979,0.3346852798500043,0.611974557561489,0.5943857642426084,0.2593402651810135,0.01,0.18279234470766972,0.581139588534589,0.05462323420661757,1728.4429999999998,17630,14013,1.0,0.01938846044977442,3356.317,0.18279234470766972,0.05462323420661757,1728.4429999999998,0.0010340305818877123,0.022636871508379855,4.051999999999994,0.0,0.0,0.0
60,ridge_delta_kalshi_spot_alpha_0.1,kalshi_spot,delta,0.1,173109,29,0.563,0.12129554492315345,0.0799305653889713,0.8686541133379602,0.3346852798500043,0.6375832693403355,0.6482107006475673,0.39863524753331603,0.1,0.035064612469600076,0.7976935749588139,0.12118830313014828,735.613,2654,3416,1.0,0.029482424368461487,5103.673,0.7275011697832002,0.04211779699373496,5304.188999999999,0.188921431005898,0.08646813845401174,2827.8540000000003,0.035064612469600076,0.12118830313014828,735.613
60,ridge_delta_kalshi_spot_alpha_10,kalshi_spot,delta,10.0,173109,29,0.561,0.12129578745834041,0.07993057869128123,0.8686535880749582,0.3346852798500043,0.6375825446739054,0.6482285727902585,0.3986315461705109,0.1,0.03505883576243869,0.7978250123578843,0.12120975449003132,735.6220000000001,2653,3416,1.0,0.029484486652918095,5104.029999999999,0.727483839661716,0.04212040433878063,5304.391,0.18890987759157524,0.0864337655189285,2826.557,0.03505883576243869,0.12120975449003132,735.6220000000001
60,ridge_delta_kalshi_spot_alpha_1000,kalshi_spot,delta,1000.0,173109,29,0.556,0.12131876027550308,0.07993439321216574,0.8686038306528854,0.3346852798500043,0.637513904615481,0.6481213399341114,0.39824951613412457,0.1,0.03492019479056548,0.7990074441687345,0.12102249793217536,731.581,2634,3411,1.0,0.029448006747193965,5097.715,0.7271199071105489,0.04226679695879113,5320.163999999999,0.18840152736137347,0.08625761942723982,2813.2059999999997,0.03492019479056548,0.12102249793217536,731.581
60,ridge_delta_kalshi_cross_coin_alpha_0.1,kalshi_cross_coin,delta,0.1,173109,43,0.765,0.12799892378062247,0.08433594452650844,0.8537353376332966,0.3346852798500043,0.6175543667830636,0.5862062802709417,0.24827021615432102,0.05,0.04969701170938542,0.6421015924677438,0.07110775310938044,611.74,3848,4755,1.0,0.014284335303190477,2472.7470000000003,0.5421324136815533,0.027632149859347026,2593.2219999999998,0.04969701170938542,0.07110775310938044,611.74,0.005043065351888117,0.14083046964490264,122.94500000000001
60,ridge_delta_kalshi_cross_coin_alpha_10,kalshi_cross_coin,delta,10.0,173109,43,0.77,0.12799927075571904,0.08433572497647873,0.8537345446537521,0.3346852798500043,0.617553330062546,0.5862062802709417,0.2482704210122033,0.05,0.0496681281735785,0.6421260758315888,0.07101663177483135,610.6009999999999,3846,4752,1.0,0.01428468768232732,2472.808,0.5419937727096801,0.02764562372100955,2593.823,0.0496681281735785,0.07101663177483135,610.6009999999999,0.005048842059049501,0.14089816933638444,123.145
60,ridge_delta_kalshi_cross_coin_alpha_1000,kalshi_cross_coin,delta,1000.0,173109,43,0.766,0.1280355699747875,0.0843153041328058,0.8536515742648156,0.3346852798500043,0.6174448722926532,0.5861347917001769,0.24799128922553756,0.05,0.04736899872334772,0.6458536585365854,0.07047195121951218,577.8699999999999,3667,4533,1.0,0.014340646644599645,2482.495,0.5293716675620562,0.028148037407653943,2579.4579999999996,0.04736899872334772,0.07047195121951218,577.8699999999999,0.004973744865951511,0.14282926829268291,122.976
60,ridge_delta_all_alpha_0.1,all,delta,0.1,173109,56,1.076,0.12034017428921016,0.07958111965138859,0.870715026998232,0.3346852798500043,0.640437803708777,0.6498370656324653,0.4138373304364418,0.1,0.04338884748915423,0.8056184263080814,0.13171894554653174,989.3409999999999,3318,4193,1.0,0.029212062919894397,5056.870999999999,0.7445309024949598,0.04099734647166078,5283.942999999999,0.2152458855403243,0.0860966426021846,3208.047,0.04338884748915423,0.13171894554653174,989.3409999999999
60,ridge_delta_all_alpha_10,all,delta,10.0,173109,56,1.032,0.12034054180767112,0.07958112408980954,0.8707142373253378,0.3346852798500043,0.6404367056071183,0.6497894065852888,0.4138332805393369,0.1,0.043377294074831464,0.8056998268744173,0.13175829005193768,989.3729999999999,3319,4190,1.0,0.029202629557099857,5055.237999999999,0.7444558053018618,0.041002545161090066,5284.079999999999,0.215211225297356,0.0861196617903637,3208.388,0.043377294074831464,0.13175829005193768,989.3729999999999
60,ridge_delta_all_alpha_1000,all,delta,1000.0,173109,56,1.06,0.12037556011710392,0.07958672118232843,0.8706389837575557,0.3346852798500043,0.6403320750435975,0.6499442984886125,0.41338252088533484,0.1,0.04270719604411093,0.8060327336669822,0.13177627485459217,974.222,3250,4143,1.0,0.029316933261702163,5075.025,0.7437568237353344,0.04111677579203268,5293.825999999999,0.2137786019213328,0.08631948009835977,3194.4249999999997,0.04270719604411093,0.13177627485459217,974.222
